Name,From,To,Pos,Height,Weight,Birth Date,Colleges,Retired
Dāvis Bertāns,2017,2024,F,6-10,225,"November 12, 1992",,0
Del Beshore,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania,1
Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Tech,1
Patrick Beverley,2013,2024,G,6-2,180,"July 12, 1988",Arkansas,0
Saddiq Bey,2021,2024,F,6-7,215,"April 9, 1999",Villanova,0
Tyler Bey,2021,2021,F,6-7,215,"February 10, 1998",Colorado,0
Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State,1
Wes Bialosuknia,1968,1968,G,6-2,185,"June 8, 1945",UConn,1
Al Bianchi,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green,1
Hank Biasatti,1947,1947,G,5-11,175,"January 14, 1922",Assumption University,1
Henry Bibby,1973,1981,G,6-1,185,"November 24, 1949",UCLA,1
Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",Arizona,1
Ed Biedenbach,1969,1969,G,6-1,175,"August 12, 1945",NC State,1
Andris Biedriņš,2005,2014,C,6-11,240,"April 2, 1986",,1
Don Bielke,1956,1956,C,6-7,240,"May 10, 1932",Valparaiso,1
Bob Bigelow,1976,1979,F-G,6-7,215,"December 26, 1953",Penn,1
Lionel Billingy,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne,1
Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",Colorado,1
Dave Bing,1967,1978,G,6-3,180,"November 24, 1943",Syracuse,1
Joe Binion,1987,1987,F,6-8,235,"March 26, 1961",North Carolina A&T,1
Khem Birch,2018,2023,C-F,6-9,233,"September 28, 1992","Pitt, UNLV",0
Jabari Bird,2018,2018,G,6-6,198,"July 3, 1994",California,1
Jerry Bird,1959,1959,F,6-6,210,"February 2, 1935",Kentucky,1
Larry Bird,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University,1
Otis Birdsong,1978,1989,G,6-3,190,"December 9, 1955",Houston,1
Gale Bishop,1949,1949,F,6-3,195,"June 4, 1922",Washington State,1
Goga Bitadze,2020,2025,C,6-11,250,"July 20, 1999",,0
Onuralp Bitim,2024,2024,F,6-6,215,"March 31, 1999",,0
Bismack Biyombo,2012,2024,C-F,6-8,255,"August 28, 1992",,0
Nemanja Bjelica,2016,2022,F,6-10,234,"May 9, 1988",,1
Uwe Blab,1986,1990,C,7-1,252,"March 26, 1962",Indiana,1
Anthony Black,2024,2025,G,6-7,198,"January 20, 2004",Arkansas,0
Charlie Black,1949,1952,F-C,6-5,200,"June 15, 1921",Kansas,1
Leaky Black,2024,2024,F,6-9,205,"June 14, 1999",UNC,0
Norman Black,1981,1981,G,6-5,185,"November 12, 1957",Saint Joseph's,1
Tarik Black,2015,2018,C-F,6-9,250,"November 22, 1991","Memphis, Kansas",1
Tom Black,1971,1971,C,6-10,220,"July 9, 1941",South Dakota State,1
Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State,1
Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University,1
Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",Wisconsin,1
James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College,1
Nate Blackwell,1988,1988,G,6-4,170,"February 15, 1965",Temple,1
DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",Pitt,1
Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",Maryland,1
Antonio Blakeney,2018,2019,G,6-4,192,"October 4, 1996",LSU,1
Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State,1
George Blaney,1962,1962,G,6-1,175,"November 12, 1939",Holy Cross,1
Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966","Virginia, Texas",1
Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",LSU,1
Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",,1
Mookie Blaylock,1990,2002,G,6-0,180,"March 20, 1967","Midland College, Oklahoma",1
Eric Bledsoe,2011,2022,G,6-1,214,"December 9, 1989",Kentucky,1
Keljin Blevins,2021,2022,F,6-4,200,"November 24, 1995","Southern Miss, Montana State",1
Leon Blevins,1951,1951,G,6-2,160,"June 25, 1926",Arizona,1
John Block,1967,1976,F-C,6-9,207,"April 16, 1944",USC,1
Mike Bloom,1948,1949,F-C,6-6,190,"January 14, 1915",Temple,1
Jaron Blossomgame,2019,2019,F,6-8,220,"September 16, 1993",Clemson,1
Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",Cincinnati,1
Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",Pitt,1
Vander Blue,2014,2018,G,6-4,200,"July 17, 1992",Marquette,1
Ray Blume,1982,1982,G,6-4,185,"September 23, 1958",Oregon State,1
Nelson Bobb,1950,1953,G,6-0,170,"February 25, 1924",Temple,1
Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",Cincinnati,1
Bucky Bockhorn,1959,1965,G,6-4,200,"July 8, 1933",Dayton,1
Buddy Boeheim,2023,2024,G,6-6,205,"November 11, 1999",Syracuse,0
Tom Boerwinkle,1969,1978,C,7-0,265,"August 23, 1945",Tennessee,1
Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",Kentucky,1
Bogdan Bogdanović,2018,2025,G,6-5,220,"August 18, 1992",,0
Bojan Bogdanović,2015,2024,G-F,6-7,226,"April 18, 1989",,0
Muggsy Bogues,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest,1
Andrew Bogut,2006,2019,C,7-0,260,"November 28, 1984",Utah,1
Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973","Arizona, Tennessee, Auburn University at Montgomery",1
Bol Bol,2020,2025,F-C,7-3,220,"November 16, 1999",Oregon,0
Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport,1
Jonah Bolden,2019,2020,F,6-8,220,"January 2, 1996",UCLA,1
Marques Bolden,2020,2024,C,6-10,249,"April 17, 1998",Duke,0
Bill Bolger,1954,1954,F,6-5,205,"August 21, 1931",Georgetown,1
Leandro Bolmaro,2022,2023,F,6-6,200,"September 11, 2000",,0
Joel Bolomboy,2017,2018,F,6-9,235,"January 28, 1994",Weber State,1
Doug Bolstorff,1958,1958,G,6-4,195,"October 29, 1931",Minnesota,1
George Bon Salle,1962,1962,F,6-8,220,"July 1, 1935",Illinois,1
Adem Bona,2025,2025,F-C,6-10,235,"March 28, 2003",UCLA,0
Phil Bond,1978,1978,G,6-2,175,"July 27, 1954",Louisville,1
Walter Bond,1993,1995,G,6-5,200,"February 1, 1969",Minnesota,1
Jordan Bone,2020,2021,G,6-2,180,"November 5, 1997",Tennessee,0
Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970",UNLV,1
Isaac Bonga,2019,2022,G,6-8,180,"November 8, 1999",,1
Ron Bonham,1965,1968,F,6-5,192,"May 31, 1942",Cincinnati,1
Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis,1
Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",Florida,1
Butch Booker,1970,1970,C,6-10,230,"July 20, 1945",Cheyney (PA),1
Devin Booker,2016,2025,G,6-6,206,"October 30, 1996",Kentucky,0
Melvin Booker,1996,1997,G,6-2,185,"August 20, 1972",Missouri,1
Trevor Booker,2011,2018,F,6-8,228,"November 25, 1987",Clemson,1
Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",UConn,1
Ron Boone,1969,1981,G-F,6-2,200,"September 6, 1946","Iowa Western Community College, Clarinda Campus, Idaho State University",1
Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Penn State,1
Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",Maryland,1
Bob Boozer,1961,1971,F,6-8,215,"April 26, 1937",Kansas State,1
Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke,1
Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford,1
Jake Bornheimer,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College,1
Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",,1
Ike Borsavage,1951,1951,C-F,6-8,220,"July 25, 1924",Temple,1
Vince Boryla,1950,1954,F,6-5,210,"March 11, 1927","Notre Dame, Denver",1
Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Tech,1
Jim Bostic,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State,1
Brandon Boston Jr.,2022,2025,G-F,6-7,185,"November 28, 2001",Kentucky,0
Lawrence Boston,1980,1980,F,6-8,225,"May 18, 1956","Vincennes University, Maryland",1
Tom Boswell,1976,1984,F-C,6-9,220,"October 2, 1953","South Carolina State, South Carolina",1
Chris Boucher,2018,2025,F,6-9,200,"January 11, 1993","New Mexico Junior College, Northwest College, Oregon",0
James Bouknight,2022,2024,G,6-5,190,"September 18, 2000",UConn,0
Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown,1
Jamaree Bouyea,2023,2024,G,6-2,180,"June 27, 1999",San Francisco,0
Don Boven,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan,1
Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion,1
Brian Bowen,2020,2021,F,6-6,190,"October 2, 1998",,1
Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971",Cal State Fullerton,1
Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",Iowa,1
Tommie Bowens,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University,1
Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",Oklahoma,1
Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",Kentucky,1
Orb Bowling,1968,1968,C,6-10,215,"March 21, 1939",Tennessee,1
Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973","Providence, Penn",1
Ky Bowman,2020,2020,G,6-1,187,"June 16, 1997",Boston College,0
Nate Bowman,1967,1972,C,6-10,230,"March 19, 1943",Wichita State,1
Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",Colorado,1
Dennis Boyd,1979,1979,G,6-1,175,"May 21, 1954",Detroit Mercy,1
Freddie Boyd,1973,1978,G,6-2,180,"June 13, 1950",Oregon State,1
Ken Boyd,1975,1975,F,6-5,195,"March 25, 1952",Boston University,1
Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan,1
Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's,1
Winford Boynes,1979,1981,G-F,6-6,185,"May 17, 1957",San Francisco,1
Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983",UCLA,1
Steve Bracey,1973,1975,G,6-1,175,"August 1, 1950",Tulsa,1
Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State,1
Gary Bradds,1965,1971,F,6-8,210,"July 26, 1942",Ohio State,1
Alex Bradley,1982,1982,F,6-6,215,"October 30, 1959",Villanova,1
Alonzo Bradley,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern,1
Avery Bradley,2011,2022,G,6-3,180,"November 26, 1990",Texas,1
Bill Bradley,1968,1968,G,5-11,165,"June 16, 1941",Tennessee State,1
Bill Bradley,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton,1
Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",Wyoming,1
Dudley Bradley,1980,1989,G-F,6-6,195,"March 19, 1957",UNC,1
Jim Bradley,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois,1
Joe Bradley,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State,1
Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979","Kentucky, Villanova",1
Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",BYU,1
Tony Bradley,2018,2023,F-C,6-10,248,"January 8, 1998",UNC,0
Mark Bradtke,1997,1997,C-F,6-10,265,"September 27, 1968",,1
Marques Bragg,1996,1996,F,6-8,230,"March 24, 1970",Providence,1
Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier,1
A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",Arizona,1
Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",Maryland,1
Elton Brand,2000,2016,F-C,6-9,275,"March 11, 1979",Duke,1
Terrell Brandon,1992,2002,G,5-11,180,"May 20, 1970",Oregon,1
Malaki Branham,2023,2025,G,6-4,180,"May 12, 2003",Ohio State,0
Bob Brannum,1950,1955,F-C,6-5,215,"May 28, 1926","Kentucky, Michigan State",1
Brad Branson,1982,1983,C-F,6-10,220,"September 24, 1958",SMU,1
Jesse Branson,1966,1968,F,6-7,195,"January 7, 1942",Elon University,1
Jarrell Brantley,2020,2023,F,6-5,250,"June 7, 1996",College of Charleston,0
Jim Brasco,1953,1953,G,6-1,170,"February 3, 1931",NYU,1
Mike Bratz,1978,1986,G,6-2,185,"October 17, 1955",Stanford,1
Carl Braun,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate,1
Christian Braun,2023,2025,G,6-6,218,"April 17, 2001",Kansas,0
Ignas Brazdeikis,2020,2022,F,6-6,221,"January 8, 1999",Michigan,0
Tim Breaux,1995,1998,F,6-7,215,"September 19, 1970",Wyoming,1
J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure,1
Pete Brennan,1959,1959,F,6-6,205,"September 23, 1936",UNC,1
Tom Brennan,1955,1955,F,6-3,195,"August 6, 1930",Villanova,1
Randy Breuer,1984,1994,C,7-3,230,"October 11, 1960",Minnesota,1
Corey Brewer,2008,2020,F-G,6-9,186,"March 5, 1986",Florida,1
Jamison Brewer,2002,2005,G,6-4,184,"November 19, 1980",Auburn,1
Jim Brewer,1974,1982,F-C,6-9,210,"December 3, 1951",Minnesota,1
Ron Brewer,1979,1986,G,6-4,180,"July 16, 1955","University of Arkansas-Fort Smith, Arkansas",1
Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",Arkansas,1
Primož Brezec,2002,2010,C,7-2,252,"October 2, 1979",,1
Frankie Brian,1950,1956,G,6-1,180,"May 1, 1923",LSU,1
Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Penn State,1
Junior Bridgeman,1976,1987,F-G,6-5,210,"September 17, 1953",Louisville,1
Bill Bridges,1963,1975,F-C,6-6,228,"April 4, 1939",Kansas,1
Jalen Bridges,2025,2025,F,6-8,225,"May 14, 2001","West Virginia, Baylor",0
Mikal Bridges,2019,2025,F-G,6-6,209,"August 30, 1996",Villanova,0
Miles Bridges,2019,2025,G-F,6-7,225,"March 21, 1998",Michigan State,0
Al Brightman,1947,1947,F,6-2,195,"September 22, 1923",University of Charleston,1
Amida Brimah,2021,2021,C,6-10,230,"February 11, 1994",UConn,0
Aud Brindley,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College,1
Isaiah Briscoe,2019,2019,G,6-3,215,"April 13, 1996",Kentucky,1
John Brisker,1970,1975,F-G,6-5,210,"June 15, 1947",Toledo,1
Oshae Brissett,2020,2024,F,6-7,210,"June 20, 1998",Syracuse,0
Allan Bristow,1974,1983,F-G,6-7,210,"August 23, 1951",Virginia Tech,1
Tyrone Britt,1968,1968,G,6-4,190,"April 18, 1944",Johnson C. Smith University,1
Wayman Britt,1978,1978,G,6-2,185,"August 31, 1952",Michigan,1
Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",South Carolina,1
Dave Britton,1981,1981,G,6-4,180,"August 29, 1958",Texas A&M,1
Izaiah Brockington,2024,2024,G,6-4,200,"July 12, 1999","St. Bonaventure, Penn State, Iowa State",0
Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",Washington,1
Ryan Broekhoff,2019,2020,F,6-6,215,"August 23, 1990",Valparaiso,1
Jim Brogan,1982,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College,1
Malcolm Brogdon,2017,2025,G,6-4,229,"December 11, 1992",Virginia,0
Gary Brokaw,1975,1978,G,6-4,178,"January 11, 1954",Notre Dame,1
Price Brookfield,1949,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University,1
Clarence Brookins,1971,1971,F,6-4,190,,Temple,1
Aaron Brooks,2008,2018,G,6-0,161,"January 14, 1985",Oregon,1
Armoni Brooks,2021,2024,G,6-3,195,"June 5, 1998",Houston,0
Dillon Brooks,2018,2025,F-G,6-6,225,"January 22, 1996",Oregon,0
Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",Louisiana,1
MarShon Brooks,2012,2019,G-F,6-5,200,"January 26, 1989",Providence,1
Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle,1
Scott Brooks,1989,1998,G,5-11,165,"July 31, 1965","TCU, University of California, Irvine",1
Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul,1
Anthony Brown,2016,2018,F-G,6-7,210,"October 10, 1992",Stanford,1
Bob Brown,1949,1950,F,6-4,205,"November 12, 1923",Miami University,1
Bobby Brown,2009,2018,G,6-2,175,"September 24, 1984",Cal State Fullerton,1
Bruce Brown,2019,2024,G-F,6-4,202,"August 15, 1996",Miami (FL),0
Charlie Brown Jr.,2020,2024,G,6-6,199,"February 2, 1997",Saint Joseph's,0
Chaundee Brown Jr.,2022,2022,G-F,6-5,215,"December 4, 1998","Wake Forest, Michigan",0
Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",NC State,1
Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",Syracuse,1
Darrel Brown,1949,1949,F,6-2,175,"March 14, 1923",Humboldt State University,1
Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University,1
Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",Illinois,1
Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier,1
Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",Texas-San Antonio,1
Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College,1
Fred Brown,1972,1984,G,6-3,182,"August 7, 1948","Southeastern Iowa Community College, West Burlington Campus, Iowa",1
George Brown,1958,1958,F,6-6,190,"October 30, 1935",Wayne State University,1
Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine,1
Greg Brown III,2022,2024,F,6-7,205,"September 1, 2001",Texas,0
Harold Brown,1947,1947,G,6-0,155,"October 2, 1923",University of Evansville,1
Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992","Oregon, Missouri",1
Jaylen Brown,2017,2025,F-G,6-6,223,"October 24, 1996",California,0
John Brown,1974,1980,F,6-7,220,"December 14, 1951",Missouri,1
Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College,1
Kendall Brown,2023,2024,G-F,6-8,205,"May 11, 2003",Baylor,0
Kobe Brown,2024,2025,G-F,6-7,250,"January 1, 2000",Missouri,0
Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",,1
Larry Brown,1968,1972,G,5-9,160,"September 14, 1940",UNC,1
Leon Brown,1947,1947,F,6-3,190,"October 12, 1919",Wyoming,1
Lewis Brown,1981,1981,C,6-11,225,"February 19, 1955",UNLV,1
Lorenzo Brown,2014,2019,G,6-5,189,"August 26, 1990",NC State,1
Marcus Brown,1997,2000,G,6-3,185,"April 3, 1974",Murray State,1
Markel Brown,2015,2018,G,6-3,190,"January 29, 1992",Oklahoma State,1
Mike Brown,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington,1
Moses Brown,2020,2025,C,7-2,245,"October 13, 1999",UCLA,0
Myron Brown,1992,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania,1
P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech,1
Randy Brown,1992,2003,G,6-2,190,"May 22, 1968","Houston, New Mexico State",1
Raymond Brown,1990,1990,F,6-8,220,"July 5, 1965","Mississippi State, Idaho",1
Rickey Brown,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State,1
Roger Brown,1968,1975,F-G,6-5,205,"May 22, 1942",Dayton,1
Roger Brown,1973,1980,C,6-11,225,"February 23, 1950",Kansas,1
Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",Michigan State,1
Stan Brown,1948,1952,F,6-3,200,"June 27, 1929",,1
Sterling Brown,2018,2023,G,6-5,219,"February 10, 1995",SMU,0
Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University,1
Tony Brown,1985,1992,F-G,6-6,185,"July 29, 1960",Arkansas,1
Troy Brown Jr.,2019,2024,G-F,6-6,215,"July 28, 1999",Oregon,0
Jim Browne,1949,1950,C,6-10,235,"January 1, 1930",,1
Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",DePaul,1
Brian Brunkhorst,1969,1969,F,6-6,208,"June 12, 1945",Marquette,1
George Bruns,1973,1973,G,6-0,160,"August 30, 1946",Manhattan College,1
Jalen Brunson,2019,2025,G,6-2,190,"August 31, 1996",Villanova,0
Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",Temple,1
Nicolás Brussino,2017,2018,G-F,6-7,195,"March 2, 1993",,1
Elijah Bryant,2021,2021,G,6-5,210,"April 19, 1995","Elon University, BYU",1
Em Bryant,1965,1972,G,6-1,175,"November 4, 1938",DePaul,1
Joe Bryant,1976,1983,F-C,6-9,185,"October 19, 1954",La Salle,1
Kobe Bryant,1997,2016,G-F,6-6,212,"August 23, 1978",,1
Mark Bryant,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall,1
Thomas Bryant,2018,2025,C,6-10,248,"July 31, 1997",Indiana,0
Wallace Bryant,1984,1986,C,7-0,245,"July 14, 1959",San Francisco,1
Torgeir Bryn,1990,1990,C,6-9,250,"August 8, 1964",Texas State University,1
George Bucci,1976,1976,G,6-3,200,"July 9, 1953",Manhattan College,1
Shaq Buchanan,2022,2022,G,6-3,190,"January 30, 1997","Northeast Mississippi Community College, Murray State",0
Joe Buckhalter,1962,1963,F,6-7,210,"August 1, 1937",Tennessee State,1
Steve Bucknall,1990,1990,G,6-6,215,"March 17, 1966",UNC,1
Cleveland Buckner,1962,1963,F-C,6-9,210,"August 17, 1938",Jackson State University,1
Greg Buckner,2000,2009,G,6-4,210,"September 16, 1976",Clemson,1
Quinn Buckner,1977,1986,G,6-3,190,"August 20, 1954",Indiana,1
Dave Budd,1961,1965,F,6-6,205,"October 28, 1938",Wake Forest,1
Chase Budinger,2010,2016,F,6-7,209,"May 22, 1988",Arizona,1
Walt Budko,1949,1952,F-C,6-5,220,"July 30, 1925",Columbia University,1
Jud Buechler,1991,2002,F-G,6-6,220,"June 19, 1968",Arizona,1
Kobe Bufkin,2024,2025,G,6-4,195,"September 21, 2003",Michigan,0
Rodney Buford,2000,2005,G-F,6-5,189,"November 2, 1977",Creighton,1
Matt Bullard,1991,2002,F,6-10,215,"June 5, 1967","Colorado, Iowa",1
Reggie Bullock,2014,2024,G-F,6-6,205,"March 16, 1991",UNC,0
Larry Bunce,1968,1969,C,7-0,240,"July 29, 1945","Texas-El Paso, Riverside Community College, Utah State University",1
Greg Bunch,1979,1979,F,6-6,190,"May 15, 1956",Cal State Fullerton,1
Dick Bunt,1953,1953,G,6-0,170,"July 13, 1930",NYU,1
Bill Buntin,1966,1966,C-F,6-7,250,"May 5, 1942",Michigan,1
Bill Bunting,1970,1972,F-C,6-8,200,"August 26, 1947",UNC,1
Ticky Burden,1976,1978,G,6-2,185,"February 28, 1953",Utah,1
Pat Burke,2003,2007,C-F,6-11,250,"December 14, 1973",Auburn,1
Trey Burke,2014,2022,G,6-0,185,"November 12, 1992",Michigan,0
Roger Burkman,1982,1982,G,6-5,175,"May 22, 1958",Louisville,1
Alec Burks,2012,2025,G,6-6,214,"July 20, 1991",Colorado,0
Antonio Burks,2005,2006,G,6-1,200,"February 25, 1980",Memphis,1
Kevin Burleson,2006,2006,G,6-3,205,"September 4, 1979",Minnesota,1
Tom Burleson,1975,1981,C,7-2,225,"February 24, 1952",NC State,1
Jack Burmaster,1950,1950,G,6-3,190,"December 23, 1926",Illinois,1
David Burns,1982,1982,G,6-2,180,"July 3, 1958",Saint Louis,1
Evers Burns,1994,1994,F,6-8,260,"August 24, 1971",Maryland,1
Jim Burns,1968,1968,G,6-3,195,"September 21, 1945",Northwestern,1
Scott Burrell,1994,2001,G-F,6-7,218,"January 12, 1971",UConn,1
Art Burris,1951,1952,F,6-5,220,"April 7, 1924",Tennessee,1
Junior Burrough,1996,1996,F,6-8,242,"January 18, 1973",Virginia,1
Bob Burrow,1957,1958,C-F,6-7,228,"June 29, 1934","Lon Morris College, Kentucky",1
Deonte Burton,2019,2023,G,6-4,240,"January 31, 1994","Marquette, Iowa State",0
Ed Burton,1962,1965,F,6-6,225,"August 13, 1939",Michigan State,1
Willie Burton,1991,1999,F-G,6-8,210,"May 26, 1968",Minnesota,1
Steve Burtt,1985,1993,G,6-2,185,"November 5, 1962",Iona College,1
Don Buse,1973,1985,G,6-4,190,"August 10, 1950",University of Evansville,1
David Bustion,1973,1973,F,6-8,215,"August 30, 1949","Northeastern Junior College, Denver",1
Donnie Butcher,1962,1966,G,6-2,200,"February 8, 1936",Pikeville College,1
Al Butler,1962,1965,G,6-2,175,"July 9, 1938",Niagara University,1
Caron Butler,2003,2016,F,6-7,228,"March 13, 1980",UConn,1
Greg Butler,1989,1991,C,6-11,240,"March 11, 1966",Stanford,1
Jackie Butler,2005,2007,F-C,6-10,250,"March 10, 1985",,1
Jared Butler,2022,2025,G,6-3,195,"August 25, 2000",Baylor,0
Jimmy Butler,2012,2025,F-G,6-7,230,"September 14, 1989","Tyler Junior College, Marquette",0
John Butler,2023,2023,C,7-0,175,"December 4, 2002",Florida State,0
Mike Butler,1969,1972,G,6-2,170,"October 22, 1946",Memphis,1
Mitchell Butler,1994,2004,G-F,6-5,210,"December 15, 1970",UCLA,1
Rasual Butler,2003,2016,F-G,6-7,215,"May 23, 1979",La Salle,1
Dwight Buycks,2014,2018,G,6-3,190,"March 6, 1989",Marquette,1
Matas Buzelis,2025,2025,F,6-10,209,"October 13, 2004",,0
