Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link,Season
Reggie Perry,#0,F-C,6-8,250 lbs,"MAR 21, 2000",21,R,Mississippi State,,BROOKLYN NETS,https://www.nba.com/stats/player/1629617/,2020-21
Bruce Brown,#1,G-F,6-4,202 lbs,"AUG 15, 1996",24,2,Miami,,BROOKLYN NETS,https://www.nba.com/stats/player/1628971/,2020-21
Blake Griffin,#2,F,6-9,250 lbs,"MAR 16, 1989",32,10,Oklahoma,,BROOKLYN NETS,https://www.nba.com/stats/player/201933/,2020-21
Chris Chiozza,#4,G,5-11,175 lbs,"NOV 21, 1995",25,2,Florida,,BROOKLYN NETS,https://www.nba.com/stats/player/1629185/,2020-21
DeAndre Jordan,#6,C,6-11,265 lbs,"JUL 21, 1988",32,12,Texas A&M,,BROOKLYN NETS,https://www.nba.com/stats/player/201599/,2020-21
Kevin Durant,#7,F,6-10,240 lbs,"SEP 29, 1988",32,12,Texas,,BROOKLYN NETS,https://www.nba.com/stats/player/201142/,2020-21
Jeff Green,#8,F,6-8,235 lbs,"AUG 28, 1986",34,12,Georgetown,,BROOKLYN NETS,https://www.nba.com/stats/player/201145/,2020-21
Timothe Luwawu-Cabarrot,#9,G-F,6-7,220 lbs,"MAY 09, 1995",26,4,Mega Basket,,BROOKLYN NETS,https://www.nba.com/stats/player/1627789/,2020-21
Tyler Johnson,#10,G,6-3,186 lbs,"MAY 07, 1992",29,6,Fresno State,,BROOKLYN NETS,https://www.nba.com/stats/player/204020/,2020-21
Kyrie Irving,#11,G,6-2,195 lbs,"MAR 23, 1992",29,9,Duke,,BROOKLYN NETS,https://www.nba.com/stats/player/202681/,2020-21
Joe Harris,#12,G-F,6-6,220 lbs,"SEP 06, 1991",29,6,Virginia,,BROOKLYN NETS,https://www.nba.com/stats/player/203925/,2020-21
James Harden,#13,G,6-5,220 lbs,"AUG 26, 1989",31,11,Arizona State,,BROOKLYN NETS,https://www.nba.com/stats/player/201935/,2020-21
Landry Shamet,#20,G,6-4,190 lbs,"MAR 13, 1997",24,2,Wichita State,,BROOKLYN NETS,https://www.nba.com/stats/player/1629013/,2020-21
Alize Johnson,#24,F,6-7,212 lbs,"APR 22, 1996",25,2,Missouri State,,BROOKLYN NETS,https://www.nba.com/stats/player/1628993/,2020-21
Spencer Dinwiddie,#26,G,6-5,215 lbs,"APR 06, 1993",28,6,Colorado,,BROOKLYN NETS,https://www.nba.com/stats/player/203915/,2020-21
Nic Claxton,#33,F-C,6-11,215 lbs,"APR 17, 1999",22,1,Georgia,#31 Pick in 2019 Draft,BROOKLYN NETS,https://www.nba.com/stats/player/1629651/,2020-21
Mike James,#55,G,6-1,175 lbs,"AUG 18, 1990",30,1,Lamar,,BROOKLYN NETS,https://www.nba.com/stats/player/1628455/,2020-21
Boo Buie III,#,,6-2,180 lbs,"DEC 07, 1999",25,R,Northwestern,Signed on 10/07/24,NEW YORK KNICKS,https://www.nba.com/stats/player/1642486/,2024-25
Jacob Toppin,#00,F,6-8,200 lbs,"MAY 08, 2000",24,1,Kentucky,Signed on 07/06/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1631210/,2024-25
Cameron Payne,#1,G,6-3,183 lbs,"AUG 08, 1994",30,9,Murray State,Signed on 07/15/24,NEW YORK KNICKS,https://www.nba.com/stats/player/1626166/,2024-25
Miles McBride,#2,G,6-1,195 lbs,"SEP 08, 2000",24,3,West Virginia,Draft Rights Traded from OKC on 07/30/21,NEW YORK KNICKS,https://www.nba.com/stats/player/1630540/,2024-25
Josh Hart,#3,G,6-4,215 lbs,"MAR 06, 1995",29,7,Villanova,Traded from POR on 02/09/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1628404/,2024-25
Pacôme Dadiet,#4,F,6-8,210 lbs,"JUL 27, 2005",19,R,Ratiopharm Ulm,#25 Pick in 2024 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1642359/,2024-25
Precious Achiuwa,#5,F,6-8,243 lbs,"SEP 19, 1999",25,4,Memphis,Traded from TOR on 12/30/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1630173/,2024-25
OG Anunoby,#8,F-G,6-7,240 lbs,"JUL 17, 1997",27,7,Indiana,Traded from TOR on 12/30/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1628384/,2024-25
Kevin McCullar Jr.,#9,G,6-6,210 lbs,"MAR 15, 2001",23,R,Kansas,Draft Rights Traded from PHX on 06/27/24,NEW YORK KNICKS,https://www.nba.com/stats/player/1641755/,2024-25
Jalen Brunson,#11,G,6-2,190 lbs,"AUG 31, 1996",28,6,Villanova,Signed on 07/12/22,NEW YORK KNICKS,https://www.nba.com/stats/player/1628973/,2024-25
Tyler Kolek,#13,G,6-3,195 lbs,"MAR 27, 2001",23,R,Marquette,Draft Rights Traded from POR on 06/27/24,NEW YORK KNICKS,https://www.nba.com/stats/player/1642278/,2024-25
Jericho Sims,#20,C,6-10,250 lbs,"OCT 20, 1998",26,3,Texas,#58 Pick in 2021 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1630579/,2024-25
Mitchell Robinson,#23,C-F,7-0,240 lbs,"APR 01, 1998",26,6,Western Kentucky,#36 Pick in 2018 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1629011/,2024-25
Mikal Bridges,#25,G-F,6-6,209 lbs,"AUG 30, 1996",28,6,Villanova,Traded from BKN on 07/06/24,NEW YORK KNICKS,https://www.nba.com/stats/player/1628969/,2024-25
Karl-Anthony Towns,#32,C-F,7-0,248 lbs,"NOV 15, 1995",29,9,Kentucky,Traded from MIN on 10/02/24,NEW YORK KNICKS,https://www.nba.com/stats/player/1626157/,2024-25
Matt Ryan,#37,F,6-6,215 lbs,"APR 17, 1997",27,3,Tennessee-Chattanooga,Signed on 11/05/24,NEW YORK KNICKS,https://www.nba.com/stats/player/1630346/,2024-25
Ariel Hukporti,#55,C,6-11,246 lbs,"APR 12, 2002",22,R,MHP Riesen,Draft Rights Traded from DAL on 06/27/24,NEW YORK KNICKS,https://www.nba.com/stats/player/1630574/,2024-25
Donte DiVincenzo,#0,G,6-4,203 lbs,"JAN 31, 1997",27,5,Villanova,,NEW YORK KNICKS,https://www.nba.com/stats/player/1628978/,2023-24
Jacob Toppin,#00,F,6-8,200 lbs,"MAY 08, 2000",24,R,Kentucky,Signed on 07/06/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1631210/,2023-24
Duane Washington Jr.,#1,G,6-2,197 lbs,"MAR 24, 2000",24,2,Ohio State,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630613/,2023-24
Miles McBride,#2,G,6-1,195 lbs,"SEP 08, 2000",23,2,West Virginia,Draft Rights Traded from OKC on 07/30/21,NEW YORK KNICKS,https://www.nba.com/stats/player/1630540/,2023-24
Josh Hart,#3,G,6-4,215 lbs,"MAR 06, 1995",29,6,Villanova,Traded from POR on 02/09/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1628404/,2023-24
Charlie Brown Jr.,#4,G,6-6,199 lbs,"FEB 02, 1997",27,3,St. Joseph's (PA),,NEW YORK KNICKS,https://www.nba.com/stats/player/1629718/,2023-24
Precious Achiuwa,#5,F,6-8,243 lbs,"SEP 19, 1999",24,3,Memphis,Traded from TOR on 12/30/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1630173/,2023-24
OG Anunoby,#8,F-G,6-7,240 lbs,"JUL 17, 1997",26,6,Indiana,Traded from TOR on 12/30/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1628384/,2023-24
DaQuan Jeffries,#8,G-F,6-5,222 lbs,"AUG 30, 1997",26,4,Tulsa,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629610/,2023-24
Jalen Brunson,#11,G,6-2,190 lbs,"AUG 31, 1996",27,5,Villanova,Signed on 07/12/22,NEW YORK KNICKS,https://www.nba.com/stats/player/1628973/,2023-24
Shake Milton,#13,G-F,6-5,205 lbs,"SEP 26, 1996",27,5,Southern Methodist,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629003/,2023-24
Alec Burks,#18,G,6-5,214 lbs,"JUL 20, 1991",32,12,Colorado,,NEW YORK KNICKS,https://www.nba.com/stats/player/202692/,2023-24
Mamadi Diakite,#21,F,6-9,228 lbs,"JAN 21, 1997",27,3,Virginia,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629603/,2023-24
Mitchell Robinson,#23,C-F,7-0,240 lbs,"APR 01, 1998",26,5,Western Kentucky,#36 Pick in 2018 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1629011/,2023-24
Julius Randle,#30,F-C,6-8,250 lbs,"NOV 29, 1994",29,9,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/203944/,2023-24
Bojan Bogdanović,#44,F,6-7,226 lbs,"APR 18, 1989",35,9,Fenerbahce,,NEW YORK KNICKS,https://www.nba.com/stats/player/202711/,2023-24
Jericho Sims,#45,C,6-10,250 lbs,"OCT 20, 1998",25,2,Texas,#58 Pick in 2021 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1630579/,2023-24
Isaiah Hartenstein,#55,C-F,7-0,250 lbs,"MAY 05, 1998",26,5,Zalgiris,,NEW YORK KNICKS,https://www.nba.com/stats/player/1628392/,2023-24
Obi Toppin,#1,F,6-9,220 lbs,"MAR 04, 1998",25,2,Dayton,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630167/,2022-23
Miles McBride,#2,G,6-2,195 lbs,"SEP 08, 2000",22,1,West Virginia,Draft Rights Traded from OKC on 07/30/21,NEW YORK KNICKS,https://www.nba.com/stats/player/1630540/,2022-23
Trevor Keels,#3,G,6-4,221 lbs,"AUG 26, 2003",19,R,Duke,,NEW YORK KNICKS,https://www.nba.com/stats/player/1631211/,2022-23
Josh Hart,#3,G,6-4,215 lbs,"MAR 06, 1995",28,5,Villanova,Traded from POR on 02/09/23,NEW YORK KNICKS,https://www.nba.com/stats/player/1628404/,2022-23
Derrick Rose,#4,G,6-3,200 lbs,"OCT 04, 1988",34,13,Memphis,,NEW YORK KNICKS,https://www.nba.com/stats/player/201565/,2022-23
Duane Washington Jr.,#4,G,6-2,197 lbs,"MAR 24, 2000",23,1,Ohio State,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630613/,2022-23
Immanuel Quickley,#5,G,6-2,190 lbs,"JUN 17, 1999",24,2,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630193/,2022-23
Quentin Grimes,#6,G,6-5,210 lbs,"MAY 08, 2000",23,1,Houston,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629656/,2022-23
DaQuan Jeffries,#8,G-F,6-5,222 lbs,"AUG 30, 1997",25,3,Tulsa,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629610/,2022-23
RJ Barrett,#9,F-G,6-6,214 lbs,"JUN 14, 2000",23,3,Duke,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629628/,2022-23
Jalen Brunson,#11,G,6-2,190 lbs,"AUG 31, 1996",26,4,Villanova,Signed on 07/12/22,NEW YORK KNICKS,https://www.nba.com/stats/player/1628973/,2022-23
Evan Fournier,#13,G-F,6-6,205 lbs,"OCT 29, 1992",30,10,Poitiers Basket 86,,NEW YORK KNICKS,https://www.nba.com/stats/player/203095/,2022-23
Isaiah Roby,#18,F,6-8,230 lbs,"FEB 03, 1998",25,3,Nebraska,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629676/,2022-23
Mitchell Robinson,#23,C-F,7-0,240 lbs,"APR 01, 1998",25,4,Western Kentucky,#36 Pick in 2018 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1629011/,2022-23
Julius Randle,#30,F-C,6-8,250 lbs,"NOV 29, 1994",28,8,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/203944/,2022-23
Jericho Sims,#45,C,6-10,250 lbs,"OCT 20, 1998",24,1,Texas,#58 Pick in 2021 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1630579/,2022-23
Isaiah Hartenstein,#55,C-F,7-0,250 lbs,"MAY 05, 1998",25,4,Zalgiris,,NEW YORK KNICKS,https://www.nba.com/stats/player/1628392/,2022-23
Obi Toppin,#1,F,6-9,220 lbs,"MAR 04, 1998",24,1,Dayton,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630167/,2021-22
Miles McBride,#2,G,6-1,195 lbs,"SEP 08, 2000",21,R,West Virginia,Draft Rights Traded from OKC on 07/30/21,NEW YORK KNICKS,https://www.nba.com/stats/player/1630540/,2021-22
Nerlens Noel,#3,C-F,6-11,220 lbs,"APR 10, 1994",28,7,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/203457/,2021-22
Derrick Rose,#4,G,6-2,200 lbs,"OCT 04, 1988",33,12,Memphis,,NEW YORK KNICKS,https://www.nba.com/stats/player/201565/,2021-22
Immanuel Quickley,#5,G,6-3,190 lbs,"JUN 17, 1999",23,1,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630193/,2021-22
Quentin Grimes,#6,G,6-4,210 lbs,"MAY 08, 2000",22,R,Houston,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629656/,2021-22
Kemba Walker,#8,G,6-0,184 lbs,"MAY 08, 1990",32,10,Connecticut,,NEW YORK KNICKS,https://www.nba.com/stats/player/202689/,2021-22
RJ Barrett,#9,F-G,6-6,214 lbs,"JUN 14, 2000",22,2,Duke,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629628/,2021-22
Feron Hunt,#11,F,6-8,195 lbs,"JUL 05, 1999",22,R,Southern Methodist,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630624/,2021-22
Evan Fournier,#13,G-F,6-6,205 lbs,"OCT 29, 1992",29,9,Poitiers Basket 86,,NEW YORK KNICKS,https://www.nba.com/stats/player/203095/,2021-22
Alec Burks,#18,G,6-6,214 lbs,"JUL 20, 1991",30,10,Colorado,,NEW YORK KNICKS,https://www.nba.com/stats/player/202692/,2021-22
Cam Reddish,#21,F-G,6-8,217 lbs,"SEP 01, 1999",22,2,Duke,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629629/,2021-22
Mitchell Robinson,#23,C-F,7-0,240 lbs,"APR 01, 1998",24,3,Western Kentucky,#36 Pick in 2018 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1629011/,2021-22
Julius Randle,#30,F-C,6-8,250 lbs,"NOV 29, 1994",27,7,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/203944/,2021-22
Jericho Sims,#45,C,6-9,250 lbs,"OCT 20, 1998",23,R,Texas,#58 Pick in 2021 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1630579/,2021-22
Ryan Arcidiacono,#51,G,6-3,195 lbs,"MAR 26, 1994",28,4,Villanova,,NEW YORK KNICKS,https://www.nba.com/stats/player/1627853/,2021-22
Taj Gibson,#67,F,6-9,232 lbs,"JUN 24, 1985",37,12,Southern California,,NEW YORK KNICKS,https://www.nba.com/stats/player/201959/,2021-22
Luca Vildoza,#,G,6-3,190 lbs,"AUG 11, 1995",25,R,Baskonia,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630492/,2020-21
Jared Harper,#0,G,5-10,175 lbs,"SEP 14, 1997",23,1,Auburn,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629607/,2020-21
Obi Toppin,#1,F,6-9,220 lbs,"MAR 04, 1998",23,R,Dayton,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630167/,2020-21
Nerlens Noel,#3,C-F,6-11,220 lbs,"APR 10, 1994",27,6,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/203457/,2020-21
Derrick Rose,#4,G,6-2,200 lbs,"OCT 04, 1988",32,11,Memphis,,NEW YORK KNICKS,https://www.nba.com/stats/player/201565/,2020-21
Immanuel Quickley,#5,G,6-3,190 lbs,"JUN 17, 1999",22,R,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/1630193/,2020-21
Elfrid Payton,#6,G,6-3,195 lbs,"FEB 22, 1994",27,6,Louisana-Lafayette,,NEW YORK KNICKS,https://www.nba.com/stats/player/203901/,2020-21
RJ Barrett,#9,F-G,6-6,214 lbs,"JUN 14, 2000",21,1,Duke,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629628/,2020-21
Frank Ntilikina,#11,G,6-4,200 lbs,"JUL 28, 1998",22,3,Strasbourg IG,,NEW YORK KNICKS,https://www.nba.com/stats/player/1628373/,2020-21
Norvel Pelle,#14,C,6-10,231 lbs,"FEB 03, 1993",28,1,Iona,,NEW YORK KNICKS,https://www.nba.com/stats/player/203658/,2020-21
Alec Burks,#18,G,6-6,214 lbs,"JUL 20, 1991",29,9,Colorado,,NEW YORK KNICKS,https://www.nba.com/stats/player/202692/,2020-21
Kevin Knox II,#20,F,6-7,215 lbs,"AUG 11, 1999",21,2,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/1628995/,2020-21
Theo Pinson,#21,G-F,6-5,212 lbs,"NOV 05, 1995",25,2,North Carolina,,NEW YORK KNICKS,https://www.nba.com/stats/player/1629033/,2020-21
Mitchell Robinson,#23,C-F,7-0,240 lbs,"APR 01, 1998",23,2,Western Kentucky,#36 Pick in 2018 Draft,NEW YORK KNICKS,https://www.nba.com/stats/player/1629011/,2020-21
Reggie Bullock Jr.,#25,G-F,6-6,205 lbs,"MAR 16, 1991",30,7,North Carolina,,NEW YORK KNICKS,https://www.nba.com/stats/player/203493/,2020-21
Julius Randle,#30,F-C,6-8,250 lbs,"NOV 29, 1994",26,6,Kentucky,,NEW YORK KNICKS,https://www.nba.com/stats/player/203944/,2020-21
Taj Gibson,#67,F,6-9,232 lbs,"JUN 24, 1985",36,11,Southern California,,NEW YORK KNICKS,https://www.nba.com/stats/player/201959/,2020-21
Tyrese Maxey,#0,G,6-2,200 lbs,"NOV 04, 2000",24,4,Kentucky,#21 Pick in 2020 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630178/,2024-25
Reggie Jackson,#00,G,6-2,208 lbs,"APR 16, 1990",34,13,Boston College,Signed on 07/30/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/202704/,2024-25
KJ Martin,#1,F,6-6,215 lbs,"JAN 06, 2001",23,4,IMG Academy (FL),Traded from LAC on 11/01/23,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630231/,2024-25
Andre Drummond,#5,C,6-11,279 lbs,"AUG 10, 1993",31,12,Connecticut,Signed on 07/07/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/203083/,2024-25
Kyle Lowry,#7,G,6-0,196 lbs,"MAR 25, 1986",38,18,Villanova,Signed on 02/13/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/200768/,2024-25
Paul George,#8,F,6-8,220 lbs,"MAY 02, 1990",34,14,Fresno State,Signed on 07/06/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/202331/,2024-25
Kelly Oubre Jr.,#9,F-G,6-8,203 lbs,"DEC 09, 1995",29,9,Kansas,Signed on 09/26/23,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1626162/,2024-25
Jeff Dowtin Jr.,#11,G,6-3,177 lbs,"MAY 10, 1997",27,3,Rhode Island,Signed on 03/02/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630288/,2024-25
Ricky Council IV,#14,G,6-6,207 lbs,"AUG 03, 2001",23,1,Arkansas,Signed on 07/01/23,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1641741/,2024-25
Caleb Martin,#16,F,6-5,205 lbs,"SEP 28, 1995",29,5,Nevada,Signed on 07/06/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1628997/,2024-25
Justin Edwards,#19,F,6-7,203 lbs,"DEC 16, 2003",21,R,Kentucky,Signed on 07/04/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1642348/,2024-25
Jared McCain,#20,G,6-3,195 lbs,"FEB 20, 2004",20,R,Duke,#16 Pick in 2024 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1642272/,2024-25
Joel Embiid,#21,C-F,7-0,280 lbs,"MAR 16, 1994",30,8,Kansas,#3 Pick in 2014 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/203954/,2024-25
Pete Nance,#22,F,6-10,225 lbs,"FEB 19, 2000",24,1,North Carolina,Signed on 12/03/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1631250/,2024-25
Eric Gordon,#23,G,6-3,215 lbs,"DEC 25, 1988",35,16,Indiana,Signed on 07/10/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/201569/,2024-25
Guerschon Yabusele,#28,F,6-8,265 lbs,"DEC 17, 1995",29,2,"Rouen, France",Signed on 08/29/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1627824/,2024-25
Adem Bona,#30,F,6-10,235 lbs,"MAR 28, 2003",21,R,UCLA,#41 Pick in 2024 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1641737/,2024-25
Tyrese Maxey,#0,G,6-2,200 lbs,"NOV 04, 2000",23,3,Kentucky,#21 Pick in 2020 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630178/,2023-24
KJ Martin,#1,F,6-6,215 lbs,"JAN 06, 2001",23,3,IMG Academy (FL),Traded from LAC on 11/01/23,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630231/,2023-24
Mo Bamba,#5,C,7-0,231 lbs,"MAY 12, 1998",26,5,Texas,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1628964/,2023-24
Kyle Lowry,#7,G,6-0,196 lbs,"MAR 25, 1986",38,17,Villanova,Signed on 02/13/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/200768/,2023-24
De'Anthony Melton,#8,G,6-3,200 lbs,"MAY 28, 1998",26,5,Southern California,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1629001/,2023-24
Kelly Oubre Jr.,#9,F-G,6-7,203 lbs,"DEC 09, 1995",28,8,Kansas,Signed on 09/26/23,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1626162/,2023-24
Jeff Dowtin Jr.,#11,G,6-3,177 lbs,"MAY 10, 1997",27,2,Rhode Island,Signed on 03/02/24,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630288/,2023-24
Tobias Harris,#12,F,6-8,226 lbs,"JUL 15, 1992",31,12,Tennessee,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/202699/,2023-24
Ricky Council IV,#16,G,6-6,207 lbs,"AUG 03, 2001",22,R,Arkansas,Signed on 07/01/23,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1641741/,2023-24
Buddy Hield,#17,G,6-4,220 lbs,"DEC 17, 1992",31,7,Oklahoma,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1627741/,2023-24
Joel Embiid,#21,C-F,7-0,280 lbs,"MAR 16, 1994",30,7,Kansas,#3 Pick in 2014 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/203954/,2023-24
Cameron Payne,#22,G,6-3,183 lbs,"AUG 08, 1994",29,8,Murray State,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1626166/,2023-24
Terquavion Smith,#23,G,6-4,160 lbs,"DEC 31, 2002",21,R,NC State,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1631173/,2023-24
Robert Covington,#33,F,6-7,209 lbs,"DEC 14, 1990",33,10,Tennessee State,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/203496/,2023-24
Nicolas Batum,#40,G-F,6-8,230 lbs,"DEC 14, 1988",35,15,Le Mans,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/201587/,2023-24
Paul Reed,#44,F,6-9,210 lbs,"JUN 14, 1999",25,3,DePaul,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630194/,2023-24
Tyrese Maxey,#0,G,6-2,200 lbs,"NOV 04, 2000",22,2,Kentucky,#21 Pick in 2020 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630178/,2022-23
James Harden,#1,G,6-5,220 lbs,"AUG 26, 1989",33,13,Arizona State,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/201935/,2022-23
Montrezl Harrell,#5,F-C,6-7,240 lbs,"JAN 26, 1994",29,7,Louisville,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1626149/,2022-23
Jalen McDaniels,#7,F-C,6-9,205 lbs,"JAN 31, 1998",25,3,San Diego State,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1629667/,2022-23
De'Anthony Melton,#8,G,6-2,200 lbs,"MAY 28, 1998",25,4,Southern California,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1629001/,2022-23
Mac McClung,#9,G,6-2,185 lbs,"JAN 06, 1999",24,1,Texas Tech,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630644/,2022-23
Jaden Springer,#11,G,6-4,202 lbs,"SEP 25, 2002",20,1,Tennessee,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630531/,2022-23
Tobias Harris,#12,F,6-7,226 lbs,"JUL 15, 1992",30,11,Tennessee,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/202699/,2022-23
Dewayne Dedmon,#14,C,6-10,245 lbs,"AUG 12, 1989",33,9,USC,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/203473/,2022-23
P.J. Tucker,#17,F,6-5,245 lbs,"MAY 05, 1985",38,11,Texas,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/200782/,2022-23
Shake Milton,#18,G-F,6-5,205 lbs,"SEP 26, 1996",26,4,Southern Methodist,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1629003/,2022-23
Georges Niang,#20,F,6-7,230 lbs,"JUN 17, 1993",30,6,Iowa State,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1627777/,2022-23
Joel Embiid,#21,C-F,7-0,280 lbs,"MAR 16, 1994",29,6,Kansas,#3 Pick in 2014 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/203954/,2022-23
Louis King,#23,F,6-7,205 lbs,"APR 06, 1999",24,3,Oregon,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1629663/,2022-23
Danuel House Jr.,#25,F-G,6-6,220 lbs,"JUN 07, 1993",30,6,Texas A&M,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1627863/,2022-23
Furkan Korkmaz,#30,G-F,6-7,202 lbs,"JUL 24, 1997",25,5,Anadolu Efes,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1627788/,2022-23
Paul Reed,#44,F,6-9,210 lbs,"JUN 14, 1999",24,2,DePaul,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630194/,2022-23
Tyrese Maxey,#0,G,6-2,200 lbs,"NOV 04, 2000",21,1,Kentucky,#21 Pick in 2020 Draft,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630178/,2021-22
James Harden,#1,G,6-5,220 lbs,"AUG 26, 1989",32,12,Arizona State,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/201935/,2021-22
Myles Powell,#5,G,6-2,195 lbs,"JUL 07, 1997",24,R,Seton Hall,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1629619/,2021-22
Isaiah Joe,#7,G,6-4,165 lbs,"JUL 02, 1999",22,1,Arkansas,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/1630198/,2021-22
Paul Millsap,#8,F,6-7,257 lbs,"FEB 10, 1985",37,15,Louisiana Tech,,PHILADELPHIA 76ERS,https://www.nba.com/stats/player/200794/,2021-22
